127.0.0.1 - - [06/Feb/2023:01:09:13 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-800italic.eot? HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-900.eot? HTTP/1.1" 200 8382
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:15 -0300] "GET /ExamenLogin/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff?v=2.2.0 HTTP/1.1" 200 50312
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:44 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:09:46 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/images/veterinaria.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:12 -0300] "GET /ExamenLogin/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:20 -0300] "GET /ExamenLogin/usuario.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:21 -0300] "GET /ExamenLogin/images/usuario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:21 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:24 -0300] "GET /ExamenLogin/dueno.jsp HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:24 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:24 -0300] "GET /ExamenLogin/images/due%C3%B1o.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:28 -0300] "GET /ExamenLogin/mascota.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:28 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:28 -0300] "GET /ExamenLogin/images/mascota.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:32 -0300] "GET /ExamenLogin/agenda.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:32 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:40 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:10:40 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:07 -0300] "GET /ExamenLogin/usuario.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:07 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:11 -0300] "GET /ExamenLogin/dueno.jsp HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:11 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:13 -0300] "GET /ExamenLogin/mascota.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:13 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:16 -0300] "GET /ExamenLogin/agenda.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:16 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:23 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:15:23 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:04 -0300] "GET /ExamenLogin/usuario.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:04 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:06 -0300] "GET /ExamenLogin/dueno.jsp HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:06 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:08 -0300] "GET /ExamenLogin/mascota.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:08 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:09 -0300] "GET /ExamenLogin/agenda.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:09 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:11 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:11 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:25 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:25 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:25 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:42 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:42 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:16:42 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:27 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 200 23894
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:27 -0300] "GET /ExamenLogin/css/index-styles.css HTTP/1.1" 200 211255
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/js/scripts.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/assets/img/avataaars.svg HTTP/1.1" 200 12807
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/assets/img/portfolio/cabin.png HTTP/1.1" 200 36514
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/assets/img/portfolio/cake.png HTTP/1.1" 200 17068
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/assets/img/portfolio/circus.png HTTP/1.1" 200 27984
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/assets/img/portfolio/game.png HTTP/1.1" 200 25896
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/assets/img/portfolio/safe.png HTTP/1.1" 200 19240
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:28 -0300] "GET /ExamenLogin/assets/img/portfolio/submarine.png HTTP/1.1" 200 24330
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:29 -0300] "GET /ExamenLogin/assets/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:17:57 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 200 23894
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:19:38 -0300] "GET /ExamenLogin/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:19:38 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:19:38 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:20:44 -0300] "GET /ExamenLogin/login.jsp?username=12345&password=123456&remember-me=on&signin=Ingresar HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:20:44 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:20:57 -0300] "GET /ExamenLogin/usuario.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:20:57 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:10 -0300] "GET /ExamenLogin/dueno.jsp HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:10 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:15 -0300] "GET /ExamenLogin/mascota.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:15 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:16 -0300] "GET /ExamenLogin/agenda.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:16 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:18 -0300] "GET /ExamenLogin/login.jsp HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:19 -0300] "GET /ExamenLogin/vendor/jquery/jquery.min.js HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:26 -0300] "POST /ExamenLogin/register HTTP/1.1" 500 1154
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:28 -0300] "POST /ExamenLogin/register HTTP/1.1" 500 1154
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:29 -0300] "POST /ExamenLogin/register HTTP/1.1" 500 1154
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:29 -0300] "POST /ExamenLogin/register HTTP/1.1" 500 1154
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:30 -0300] "POST /ExamenLogin/register HTTP/1.1" 500 1154
0:0:0:0:0:0:0:1 - - [06/Feb/2023:01:21:30 -0300] "POST /ExamenLogin/register HTTP/1.1" 500 1154
